nim,kode_matkul
2511501001,TIO1001
2511501001,TIO1002
2511501001,TIO1003
2511501001,TIO1004
2511501001,UAY0001
2511501001,UAY0005
2511501001,UAY0006
2511501001,UAY0007
2511501001,TIO2005
2511501001,TIO2006
2511501001,TIO2007
2511501001,TIO2008
2511501001,TIO2009
2511501001,UAY0002
2511501001,UAY0008
2511501002,TIO1001
2511501002,TIO1002
2511501002,TIO1003
2511501002,TIO1004
2511501002,UAY0001
2511501002,UAY0005
2511501002,UAY0006
2511501002,UAY0007
2511501002,TIO2005
2511501002,TIO2006
2511501002,TIO2007
2511501002,TIO2008
2511501002,TIO2009
2511501002,UAY0002
2511501002,UAY0008
2511501003,TIO1001
2511501003,TIO1002
2511501003,TIO1003
2511501003,TIO1004
2511501003,UAY0001
2511501003,UAY0005
2511501003,UAY0006
2511501003,UAY0007
2511501003,TIO2005
2511501003,TIO2006
2511501003,TIO2007
2511501003,TIO2008
2511501003,TIO2009
2511501003,UAY0002
2511501003,UAY0008
2511501004,TIO1001
2511501004,TIO1002
2511501004,TIO1003
2511501004,TIO1004
2511501004,UAY0001
2511501004,UAY0005
2511501004,UAY0006
2511501004,UAY0007
2511501004,TIO2005
2511501004,TIO2006
2511501004,TIO2007
2511501004,TIO2008
2511501004,TIO2009
2511501004,UAY0002
2511501004,UAY0008
2511501005,TIO1001
2511501005,TIO1002
2511501005,TIO1003
2511501005,TIO1004
2511501005,UAY0001
2511501005,UAY0005
2511501005,UAY0006
2511501005,UAY0007
2511501005,TIO2005
2511501005,TIO2006
2511501005,TIO2007
2511501005,TIO2008
2511501005,TIO2009
2511501005,UAY0002
2511501005,UAY0008
2511501006,TIO1001
2511501006,TIO1002
2511501006,TIO1003
2511501006,TIO1004
2511501006,UAY0001
2511501006,UAY0005
2511501006,UAY0006
2511501006,UAY0007
2511501006,TIO2005
2511501006,TIO2006
2511501006,TIO2007
2511501006,TIO2008
2511501006,TIO2009
2511501006,UAY0002
2511501006,UAY0008
2511501007,TIO1001
2511501007,TIO1002
2511501007,TIO1003
2511501007,TIO1004
2511501007,UAY0001
2511501007,UAY0005
2511501007,UAY0006
2511501007,UAY0007
2511501007,TIO2005
2511501007,TIO2006
2511501007,TIO2007
2511501007,TIO2008
2511501007,TIO2009
2511501007,UAY0002
2511501007,UAY0008
2511501008,TIO1001
2511501008,TIO1002
2511501008,TIO1003
2511501008,TIO1004
2511501008,UAY0001
2511501008,UAY0005
2511501008,UAY0006
2511501008,UAY0007
2511501008,TIO2005
2511501008,TIO2006
2511501008,TIO2007
2511501008,TIO2008
2511501008,TIO2009
2511501008,UAY0002
2511501008,UAY0008
2511501009,TIO1001
2511501009,TIO1002
2511501009,TIO1003
2511501009,TIO1004
2511501009,UAY0001
2511501009,UAY0005
2511501009,UAY0006
2511501009,UAY0007
2511501009,TIO2005
2511501009,TIO2006
2511501009,TIO2007
2511501009,TIO2008
2511501009,TIO2009
2511501009,UAY0002
2511501009,UAY0008
2511501010,TIO1001
2511501010,TIO1002
2511501010,TIO1003
2511501010,TIO1004
2511501010,UAY0001
2511501010,UAY0005
2511501010,UAY0006
2511501010,UAY0007
2511501010,TIO2005
2511501010,TIO2006
2511501010,TIO2007
2511501010,TIO2008
2511501010,TIO2009
2511501010,UAY0002
2511501010,UAY0008
2511501011,TIO1001
2511501011,TIO1002
2511501011,TIO1003
2511501011,TIO1004
2511501011,UAY0001
2511501011,UAY0005
2511501011,UAY0006
2511501011,UAY0007
2511501011,TIO2005
2511501011,TIO2006
2511501011,TIO2007
2511501011,TIO2008
2511501011,TIO2009
2511501011,UAY0002
2511501011,UAY0008
2511501012,TIO1001
2511501012,TIO1002
2511501012,TIO1003
2511501012,TIO1004
2511501012,UAY0001
2511501012,UAY0005
2511501012,UAY0006
2511501012,UAY0007
2511501012,TIO2005
2511501012,TIO2006
2511501012,TIO2007
2511501012,TIO2008
2511501012,TIO2009
2511501012,UAY0002
2511501012,UAY0008
2511501013,TIO1001
2511501013,TIO1002
2511501013,TIO1003
2511501013,TIO1004
2511501013,UAY0001
2511501013,UAY0005
2511501013,UAY0006
2511501013,UAY0007
2511501013,TIO2005
2511501013,TIO2006
2511501013,TIO2007
2511501013,TIO2008
2511501013,TIO2009
2511501013,UAY0002
2511501013,UAY0008
2511501014,TIO1001
2511501014,TIO1002
2511501014,TIO1003
2511501014,TIO1004
2511501014,UAY0001
2511501014,UAY0005
2511501014,UAY0006
2511501014,UAY0007
2511501014,TIO2005
2511501014,TIO2006
2511501014,TIO2007
